PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
5.06.  DRUŠTVENE ZNANOSTI / Psihologija,180,Psihologija (jednopredmetni),295,sveučilišni,preddiplomski sveučilišni studij,"Fakultet hrvatskih studija, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) psihologije,Javno
5.07.  DRUŠTVENE ZNANOSTI / Pedagogija,90,Pedagogija (dvopredmetni),297,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) pedagogije,Javno
5.07.  DRUŠTVENE ZNANOSTI / Pedagogija,90,Pedagogija (dvopredmetni),298,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) pedagogije,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,180,Likovna kultura,301,sveučilišni,preddiplomski sveučilišni studij,"Akademija likovnih umjetnosti, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) edukacije likovne kulture,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,180,Slikarstvo,304,sveučilišni,preddiplomski sveučilišni studij,"Umjetnička akademija, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) slikarstva ,Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,120,Elektroničke i informatičke tehnologije u pomorstvu,305,sveučilišni,diplomski sveučilišni studij,"Pomorski fakultet, Rijeka",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka elektrotroničke i informatičke tehnologije,Javno
5.09.  DRUŠTVENE ZNANOSTI / Logopedija,120,Logopedija,309,sveučilišni,diplomski sveučilišni studij,"Edukacijsko-rehabilitacijski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra logopedije,Javno
5.08.  DRUŠTVENE ZNANOSTI / Edukacijsko-rehabilitacijske znanosti,120,Socijalna pedagogija,310,sveučilišni,diplomski sveučilišni studij,"Edukacijsko-rehabilitacijski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra socijalne pedagogije,Javno
5.08.  DRUŠTVENE ZNANOSTI / Edukacijsko-rehabilitacijske znanosti,120,Edukacijska rehabilitacija,311,sveučilišni,diplomski sveučilišni studij,"Edukacijsko-rehabilitacijski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra edukacijske rehabilitacije,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,60,Portugalski jezik i književnost (dvopredmetni),312,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra portugalskog jezika i književnosti,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,Proizvodnja i prerada mesa,313,sveučilišni,diplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar / magistra inženjer/inženjerka proizvodnje i prerade mesa,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,Fitomedicina,314,sveučilišni,diplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/ magistra inženjer/inženjerka fitomedicine,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,120,Računarstvo i matematika,315,sveučilišni,diplomski sveučilišni studij,"Prirodoslovno-matematički fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra računarstva i matematike,Javno
5.05.  DRUŠTVENE ZNANOSTI / Sociologija,120,Sociologija,316,sveučilišni,diplomski sveučilišni studij,Filozofski fakultet u Splitu,Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra sociologije,Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,120,Kineziologija,317,sveučilišni,diplomski sveučilišni studij,"Kineziološki fakultet, Split ",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra kineziologije,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,"Šumarstvo; smjer: Tehnika, tehnologija i management u šumarstvu",318,sveučilišni,diplomski sveučilišni studij,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka šumarstva,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,60,Slikarstvo,321,sveučilišni,diplomski sveučilišni studij,"Akademija likovnih umjetnosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,magistar/magistra slikarstva,Javno
,120,Poduzetnički menadžment i poduzetništvo,322,sveučilišni,diplomski sveučilišni studij,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,engleski jezik; hrvatski jezik,klasično,,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,60,Kiparstvo,323,sveučilišni,diplomski sveučilišni studij,"Akademija likovnih umjetnosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,magistar/magistra kiparstva,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,60,Grafika,324,sveučilišni,diplomski sveučilišni studij,"Akademija likovnih umjetnosti, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,magistar/magistra grafike,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,120,"Animirani film i novi mediji; smjerovi: Animirani film, Novi mediji",325,sveučilišni,diplomski sveučilišni studij,"Akademija likovnih umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra animiranog filma i novih medija,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,120,Dizajn,326,sveučilišni,diplomski sveučilišni studij,"Arhitektonski fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra dizajna ,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,Automatika i sustavi,327,sveučilišni,diplomski sveučilišni studij,"Fakultet elektrotehnike, strojarstva i brodogradnje, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka automatike i sustava,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,Elektronika i računalno inženjerstvo,328,sveučilišni,diplomski sveučilišni studij,"Fakultet elektrotehnike, strojarstva i brodogradnje, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka elektronike i računalnog inženjerstva,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,Komunikacijska i informacijska tehnologija,329,sveučilišni,diplomski sveučilišni studij,"Fakultet elektrotehnike, strojarstva i brodogradnje, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka komunikacjske i informacijske tehnologije,Javno
7.01.  UMJETNIČKO PODRUČJE / Kazališna umjetnost (scenske i medijske umjetnosti),120,Gluma,330,sveučilišni,diplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra glume,Javno
7.01.  UMJETNIČKO PODRUČJE / Kazališna umjetnost (scenske i medijske umjetnosti),120,Kazališna režija i radiofonija,334,sveučilišni,diplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra kazališne režije i radiofonije,Javno
7.01.  UMJETNIČKO PODRUČJE / Kazališna umjetnost (scenske i medijske umjetnosti),120,Dramaturgija,335,sveučilišni,diplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra dramaturgije ,Javno
"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)",120,Filmska i TV režija,336,sveučilišni,diplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra filmske i televizijske režije,Javno
"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)",120,Montaža,337,sveučilišni,diplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra montaže,Javno
"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)",120,Snimanje,338,sveučilišni,diplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra snimanja,Javno
"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)",120,Produkcija,339,sveučilišni,diplomski sveučilišni studij,"Akademija dramske umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra produkcije,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,120,"Mađarski jezik i književnost; smjerovi: nastavničko usmjerenje, komunikološko usmjerenje",340,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra edukacije mađarskog jezika i književnosti; magistar/magistra mađarskog jezika i književnosti,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),180,Poljoprivreda krša - Biljna proizvodnja,341,stručni,preddiplomski stručni studij,"Veleučilište ""Marko Marulić"", Knin","Veleučilište ""Marko Marulić"", Knin",3,KNIN,hrvatski jezik,klasično,stručni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka poljoprivrede,Javno
1.04.  PRIRODNE ZNANOSTI / Kemija,120,Kemija;nastavnički smjer,342,sveučilišni,diplomski sveučilišni studij,Sveučilište u Osijeku - Odjel za kemiju,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra edukacije kemije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Menadžment,343,sveučilišni,diplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,2,ZADAR,hrvatski jezik,klasično,magistar/magistra ekonomije,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,60,Suvremena talijanska filologija (dvopredmetni); smjer: nastavnički,344,sveučilišni,diplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,2,ZADAR,hrvatski jezik,klasično,magistar/magistra edukacije talijanske filologije,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,120,"Matematika; smjerovi: Financijska matematika i statistika, Matematika i računarstvo, Industrijska i primijenjena matematika",346,sveučilišni,diplomski sveučilišni studij,Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra matematike,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,120,Odnosi s javnostima,347,sveučilišni,diplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,2,DUBROVNIK,hrvatski jezik,klasično,magistar/magistra odnosa s javnostima,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,120,Mediji,348,sveučilišni,diplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,2,DUBROVNIK,hrvatski jezik,klasično,magistar/magistra javnih medija,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,60,Glazbena pedagogija,349,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,magistar/magistra  glazbene pedagogije,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,Marikultura,351,sveučilišni,diplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,2,DUBROVNIK,hrvatski jezik,klasično,magistar/ magistra inženjer/inženjerka marikulture,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,"Poslovna ekonomija; smjerovi: Turizam, Marketing, Međunarodna trgovina, IT menadžment",354,sveučilišni,diplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,2,DUBROVNIK,hrvatski jezik,klasično,magistar/magistra poslovne ekonomije,Javno
5.07.  DRUŠTVENE ZNANOSTI / Pedagogija,60,Pedagogija (dvopredmetni),356,sveučilišni,diplomski sveučilišni studij,Filozofski fakultet u Splitu,Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra pedagogije,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,Elektrotehničke i komunikacijske tehnologije u pomorstvu,359,sveučilišni,diplomski sveučilišni studij,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,2,DUBROVNIK,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka elektrotehničkih i komunikacijskih tehnologija u pomorstvu,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,60,Pjevanje,360,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,magistar/magistra muzike,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,60,Klavir,361,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,magistar/magistra muzike,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,120,Likovna kultura,363,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra edukacije likovne kulture,Javno
2.13.  TEHNIČKE ZNANOSTI / Tekstilna tehnologija,120,"Tekstilna tehnologija i inženjerstvo; smjerovi: Odjevno inženjerstvo, Projektiranje i menadžment tekstila, Industrijski dizajn tekstila, Industrijski dizajn odjeće, Tekstilna kemija, materijali i ekologija",365,sveučilišni,diplomski sveučilišni studij,"Tekstilno-tehnološki fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka tekstilne tehnologije i inženjerstva,Javno
2.13.  TEHNIČKE ZNANOSTI / Tekstilna tehnologija,120,"Tekstilni i modni dizajn; smjerovi: Modni dizajn, Dizajn tekstila, Kostimografija, Teorija i kultura mode",367,sveučilišni,diplomski sveučilišni studij,"Tekstilno-tehnološki fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka tekstilnog i modnog dizajna,Javno
2.01.  TEHNIČKE ZNANOSTI / Arhitektura i urbanizam,120,Arhitektura i urbanizam,368,sveučilišni,diplomski sveučilišni studij,"Arhitektonski fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka arhitekture i urbanizma,Javno
2.01.  TEHNIČKE ZNANOSTI / Arhitektura i urbanizam,120,Arhitektura i urbanizam ,369,sveučilišni,diplomski sveučilišni studij,"Fakultet građevinarstva, arhitekture i geodezije, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično, magistar/magistra inženjer/inženjerka arhitekture i urbanizma,Javno
2.02.  TEHNIČKE ZNANOSTI / Brodogradnja,90,Brodogradnja,370,sveučilišni,diplomski sveučilišni studij,"Fakultet strojarstva i brodogradnje, Zagreb",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka brodogradnje ,Javno
2.02.  TEHNIČKE ZNANOSTI / Brodogradnja,120,Brodogradnja,371,sveučilišni,diplomski sveučilišni studij,"Tehnički fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik; engleski jezik,klasično,magistar/magistra inženjer/inženjerka brodogradnje ,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,"Elektrotehnika; smjerovi: Komunikacije i informatika, Elektroenergetika",372,sveučilišni,diplomski sveučilišni studij,"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka elektrotehnike,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,Elektrotehnika,373,sveučilišni,diplomski sveučilišni studij,"Fakultet elektrotehnike, strojarstva i brodogradnje, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik; engleski jezik,klasično,magistar/magistra inženjer/inženjerka elektrotehnike,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,Elektrotehnika,374,sveučilišni,diplomski sveučilišni studij,"Tehnički fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka elektrotehnike,Javno
2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika,120,Elektrotehnika i informacijska tehnologija,375,sveučilišni,diplomski sveučilišni studij,"Fakultet elektrotehnike i računarstva, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka elektrotehnike i informacijske tehnologije,Javno
2.04.  TEHNIČKE ZNANOSTI / Geodezija,120,Geodezija i geoinformatika,376,sveučilišni,diplomski sveučilišni studij,"Geodetski fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka geodezije i geoinformatike,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,120,"Građevinarstvo; smjerovi: Organizacija građenja, Prometnice, Geotehnika, Hidrotehnika, Konstrukcije, Materijali, Teorija i modeliranje konstrukcija",377,sveučilišni,diplomski sveučilišni studij,"Građevinski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka građevinarstva,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,120,"Građevinarstvo; smjerovi: Geotehnika, Hidrotehnika, Inženjersko modeliranje, Konstrukcije, Prometnice, Urbano inženjerstvo",378,sveučilišni,diplomski sveučilišni studij,"Građevinski fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka građevinarstva,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,120,"Građevinarstvo; smjerovi: Hidrotehnika, Nosive konstrukcije, Organizacija tehnologija i menadžment građenja, Prometnice",379,sveučilišni,diplomski sveučilišni studij,Građevinski i arhitektonski fakultet Osijek,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka građevinarstva,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,120,Građevinarstvo,382,sveučilišni,diplomski sveučilišni studij,"Fakultet građevinarstva, arhitekture i geodezije, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka građevinarstva,Javno
2.06.  TEHNIČKE ZNANOSTI / Grafička tehnologija,120,"Grafička tehnologija; smjerovi: Tehničko-tehnološki, Dizajn grafičkih proizvoda",383,sveučilišni,diplomski sveučilišni studij,"Grafički fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka grafičke tehnologije,Javno
2.07.  TEHNIČKE ZNANOSTI / Kemijsko inženjerstvo,120,Kemijsko inženjerstvo,384,sveučilišni,diplomski sveučilišni studij,"Fakultet kemijskog inženjerstva i tehnologije, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka kemijskog inženjerstva,Javno
2.07.  TEHNIČKE ZNANOSTI / Kemijsko inženjerstvo,120,Kemija i inženjerstvo materijala,385,sveučilišni,diplomski sveučilišni studij,"Fakultet kemijskog inženjerstva i tehnologije, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka kemijskog inženjerstva,Javno
